Distance [m];volta 1 [km/h];volta2 [km/h];volta3 [km/h];volta4 [km/h];volta5 [km/h];volta6 [km/h];volta7 [km/h]
803.13;32.578;99.493;99.365;107.120;104.779;91.368;87.891
806.40;33.139;98.786;97.937;104.730;104.046;90.060;88.482
809.58;33.517;97.394;97.147;102.740;102.150;88.332;89.761
812.67;34.391;96.781;95.501;100.720;97.267;85.316;90.673
815.68;35.091;94.884;94.266;99.180;96.215;84.006;91.767
818.66;35.791;93.298;91.801;97.828;96.541;83.356;92.673
821.54;36.439;93.092;90.692;96.721;91.409;82.972;94.931
824.38;36.674;92.301;89.474;95.759;91.664;83.052;95.776
827.18;36.487;92.400;88.146;94.659;90.467;83.632;96.188
829.96;36.374;92.800;87.555;93.497;89.385;84.408;97.946
832.70;36.265;89.800;87.019;92.166;88.936;85.350;99.164
835.40;36.778;90.600;86.119;90.673;90.092;85.675;99.394
838.06;37.404;89.500;85.309;89.190;89.825;86.225;100.370
840.68;38.139;88.900;85.427;88.314;89.559;86.850;101.273
843.28;42.684;88.500;85.646;87.652;89.261;85.425;102.076
845.84;43.326;88.700;85.082;86.852;87.937;85.275;115.021
848.35;44.156;88.500;84.909;86.269;85.855;85.100;116.843
850.82;44.612;89.600;84.901;86.417;84.460;85.375;118.258
853.25;45.384;89.400;83.873;86.776;86.379;85.875;118.979
855.65;45.914;89.700;83.573;86.552;85.694;85.775;122.104
858.03;46.154;90.500;83.363;86.718;85.497;85.850;121.812
860.39;47.282;90.100;84.027;86.885;85.418;86.200;123.740
862.74;48.456;90.500;84.327;86.938;86.012;87.050;125.740
865.08;48.940;90.000;84.636;86.738;86.348;88.125;126.673
867.41;49.968;91.400;85.072;86.476;87.516;89.214;127.573
869.75;51.126;90.700;85.935;86.479;87.892;89.796;128.764
872.08;52.020;90.600;87.417;87.379;87.748;90.344;129.382
874.42;52.790;91.000;88.636;88.248;88.884;90.944;130.855
876.75;53.315;91.396;89.126;88.986;88.564;91.914;131.676
879.07;53.415;91.895;90.634;89.555;90.148;93.384;132.185
881.40;53.560;91.306;93.153;90.396;91.308;94.318;129.484
883.71;53.960;91.597;94.844;91.810;91.564;95.388;129.303
886.03;54.405;91.897;96.345;92.841;93.172;96.736;128.427
888.35;55.090;92.593;96.854;93.972;94.932;98.062;128.109
