Time (s);Acceleration x (m/s^2);Acceleration y (m/s^2);Acceleration z (m/s^2);Absolute acceleration (m/s^2)
0,690643311;-0,843276978;9,667770386;0,262237549;9,70802085
0,694641114;-0,812164307;9,732421875;0,283782959;9,77037252
0,698638916;-0,800186157;9,792282104;0,314910889;9,829967221
0,702606201;-0,809768677;9,847335815;0,379547119;9,887861447
0,706604004;-0,824127197;9,907196045;0,460952759;9,952095084
0,710601807;-0,826522827;9,974243164;0,549545288;10,02350571
0,71459961;-0,809768677;10,05563354;0,614181519;10,10686451
0,718597412;-0,792999268;10,15379333;0,721923828;10,21026645
0,722564697;-0,771453857;10,29745483;0,867965698;10,36272559
0,7265625;-0,723571777;10,48898315;1,033172607;10,56455249
0,730560303;-0,637374878;10,69488525;1,231887817;10,78445014
0,734558106;-0,529647827;10,93191528;1,430603027;11,03784053
0,738525391;-0,232757568;11,32217407;1,567077637;11,43247716
0,742523194;0,147918701;11,87283325;1,705947876;11,9956787
0,746520996;0,73210144;12,70602417;1,840011597;12,85941933
0,750518799;1,431213379;13,6517334;1,969299316;13,86709545
0,754516602;1,845397949;14,29338074;2,043518066;14,55617369
0,758483887;1,574859619;14,59025574;1,813674927;14,78665486
0,76248169;1,01940918;14,7434845;1,626937866;14,86796748
0,766479492;0,84703064;14,84643555;1,622146606;14,95879236
0,770477295;0,80632019;14,86079407;1,607772827;14,96924467
0,77444458;0,78956604;14,88713074;1,555099487;14,98894294
0,778442383;0,779983521;15,18641663;1,459335327;15,27629811
0,782440186;0,53578186;15,95016479;1,332443237;16,01468776
0,786437989;-0,089111328;16,86953735;1,195968628;16,91211318
0,790435791;-0,766662598;18,11691284;1,224700928;18,17443795
0,794403076;-1,044403076;19,47442627;1,351593018;19,54919078
0,798400879;-0,850463867;20,84869385;1,607772827;20,9278823
0,802398682;-0,831314087;21,78004456;1,926208496;21,88085243
0,806396485;-0,833709717;22,62280273;2,273361206;22,75202072
0,81036377;-0,977355957;23,42486572;2,680374146;23,59796526
0,814361572;-1,195236206;24,27719116;3,061065674;24,49858615
0,818359375;-1,559143066;25,07206726;3,187957764;25,32197778
0,822357178;-1,817718506;25,64668274;3,015563965;25,88725675
0,826354981;-2,009262085;25,80470276;2,826431274;26,03667668
0,830322266;-2,330078125;25,25163269;2,649261475;25,49691754
0,834320069;-2,631744385;24,1526947;2,390686035;24,4129908
0,838317871;-2,847229004;22,69223022;2,045913696;22,96148489
0,842315674;-2,993270874;20,98516846;1,658050537;21,26231637
0,846282959;-3,110595703;19,11769104;1,274978638;19,41101458
